No.,山名,エリア,標高,"難易度
★=5段階
☆=3段階","定数
数値=体力度
☆=3段階",参考日程,緯度経度
25,筑波山,北関東,877m,☆,☆,日帰り,"36度13分31秒, 140度06分24秒"
26,燧ヶ岳,尾瀬,2356m,☆☆,☆☆,1泊2日,"36度57分18秒, 139度17分07秒"
27,至仏山,尾瀬,2228m,☆☆,☆☆,1泊2日,"36度54分13秒, 139度10分24秒"
28,武尊山,上州,2158m,☆☆,☆☆☆,日帰り,"36度48分19秒, 139度07分57秒"
29,赤城山,上州,1828m,☆,☆☆,日帰り,"36度33分37秒, 139度11分36秒"
30,男体山,日光,2486m,☆☆,☆☆,日帰り,"36度43分27秒, 140度25分11秒"
31,日光白根山,日光,2578m,☆☆,☆☆,日帰り,"36度47分55秒, 139度22分33秒"
32,皇海山,足尾,2144m,☆☆,☆,日帰り,"36度41分24秒, 139度20分13秒"
33,越後駒ヶ岳,上信越,2003m,☆☆,☆☆☆,1泊2日,"37度11分00秒, 139度11分22秒"
34,平ヶ岳,上信越,2141m,☆,☆☆☆,1泊2日,"37度00分07秒, 139度10分15秒"
35,巻機山,上信越,1967m,☆,☆☆,前夜泊日帰り,"36度58分43秒, 138度57分51秒"
36,谷川岳,上信越,1963m,☆☆,☆☆,前夜泊日帰り,"36度50分57秒, 138度55分00秒"
37,苗場山,上信越,2145m,☆☆,☆☆,2泊3日,"36度50分45秒, 138度41分25秒"
38,雨飾山,上信越,1963m,☆☆,☆☆,前夜泊日帰り,"36度54分07秒, 137度57分45秒"
39,妙高山,上信越,2454m,☆☆,☆☆,1泊2日,"36度53分29秒, 138度06分48秒"
40,火打山,上信越,2462m,☆☆,☆☆,1泊2日,"36度55分22秒, 138度04分05秒"
41,高妻山,上信越,2353m,☆☆,☆☆☆,日帰り,"36度48分00秒, 138度03分07秒"
42,草津白根山,上信越,2165m,☆,☆,前夜泊1日,"36度38分38秒, 138度31分40秒"
43,四阿山,上信越,2354m,☆☆,☆☆,前夜泊1日,"36度32分30秒, 138度24分47秒"
44,浅間山,上信越,2568m,☆,☆☆,前夜泊1日,"36度24分24秒, 138度31分23秒"
45,両神山,秩父,1723m,☆☆,☆☆,日帰り,"36度01分24秒, 138度50分29秒"
46,甲武信岳,奥秩父,2475m,☆☆,☆☆,1泊2日,"35度54分32秒, 138度43分44秒"
47,金峰山,奥秩父,2595m,☆☆,☆☆,前夜泊1日,"35度52分17秒, 138度37分31秒"
48,瑞牆山,奥秩父,2230m,☆☆,☆☆,前夜泊1日,"35度53分36秒, 138度35分31秒"
49,雲取山,奥秩父,2017m,☆,☆☆,1泊2日,"35度51分20秒, 138度56分38秒"
50,大菩薩嶺,奥秩父,2057m,☆,☆☆,1泊2日,"35度44分56秒, 138度50分44秒"
51,丹沢,南関東,1567m,☆☆,☆☆,1泊2日,"35度29分11秒, 139度08分20秒"
52,富士山,南関東,3776m,☆,☆☆☆,1泊2日,"35度21分39秒, 138度43分39秒"
53,天城山,南関東,1406m,☆,☆☆,前夜泊1日,"34度51分46秒, 139度00分06秒"
54,白馬岳,北アルプス,2932m,☆☆☆,☆☆☆,1泊2日,"36度45分31秒, 137度45分31秒"
55,五竜岳,北アルプス,2814m,☆☆☆,☆☆☆,2泊3日,"36度39分30秒, 137度45分10秒"
56,鹿島槍ヶ岳,北アルプス,2890m,☆☆,☆☆☆,2泊3日,"36度37分28秒, 137度44分49秒"
57,剱岳,北アルプス,2999m,☆☆☆,☆☆☆,1泊2日,"36度37分24秒, 137度37分01秒"
58,立山,北アルプス,3015m,☆☆,☆☆,1泊2日,"36度34分33秒, 137度37分11秒"
59,薬師岳,北アルプス,2926m,☆☆,☆☆,1泊2日,"39度31分48秒, 141度29分45秒"
60,黒部五郎岳,北アルプス,2840m,☆☆,☆☆☆,3泊4日,"36度23分33秒, 137度32分24秒"
61,水晶岳,北アルプス,2978m,☆☆,☆☆☆,2泊3日,"36度25分35秒, 137度36分10秒"
62,鷲羽岳,北アルプス,2924m,☆☆,☆☆☆,2泊3日,"36度24分11秒, 137度36分19秒"
63,槍ヶ岳,北アルプス,3180m,☆☆☆,☆☆☆,2泊3日,"36度37分28秒, 137度44分49秒"
64,穂高岳,北アルプス,3190m,☆☆☆,☆☆☆,2泊3日,"36度18分09秒, 137度39分07秒"
65,常念岳,北アルプス,2857m,☆☆,☆☆,1泊2日,"36度19分32秒, 137度43分39秒"
66,笠ヶ岳,北アルプス,2897m,☆☆,☆☆☆,1泊2日,"36度40分36秒, 138度28分53秒"
67,焼岳,北アルプス,2444m,☆☆,☆☆,日帰り,"36度13分37秒, 137度35分13秒"
68,乗鞍岳,北アルプス,3026m,☆,☆,日帰り,"36度47分19秒, 137度47分57秒"
69,美ヶ原,美ヶ原,2034m,☆,☆☆,日帰り,"36度13分33秒, 138度06分27秒"
70,霧ヶ峰,霧ヶ峰,1925m,☆,☆,日帰り,"36度06分11秒, 138度11分48秒"
71,蓼科山,蓼科山,2530m,☆,☆☆,1泊2日,"36度06分13秒, 138度17分42秒"
72,八ヶ岳,八ヶ岳,2899m,☆☆,☆☆,1泊2日,"35度58分15秒, 138度22分12秒"
73,御嶽山,御嶽山,3067m,☆☆,☆☆☆,1泊2日,"35度53分34秒, 137度28分49秒"
74,木曽駒ヶ岳,中央アルプス,2956m,☆☆,☆☆,1泊2日,"35度47分22秒, 137度48分16秒"
75,空木岳,中央アルプス,2864m,☆☆☆,☆☆☆,1泊2日,"35度43分08秒, 137度49分02秒"
76,恵那山,中央アルプス,2191m,☆,☆☆,日帰り,"35度26分37秒, 137度35分50秒"
77,甲斐駒ヶ岳,南アルプス,2967m,☆☆,☆☆,1泊2日,"35度46分44秒, 138度12分36秒"
78,仙丈ヶ岳,南アルプス,3033m,☆☆,☆☆,1泊2日,"35度43分12秒, 138度11分01秒"
79,鳳凰山,南アルプス,2840m,☆☆,☆☆,2泊3日,"35度42分06秒, 138度18分17秒"
80,北岳,南アルプス,3192m,☆☆,☆☆☆,2泊3日,"35度40分28秒, 138度14分20秒"
81,間ノ岳,南アルプス,3189m,☆☆,☆☆☆,2泊3日,"35度38分46秒, 138度13分42秒"
82,塩見岳,南アルプス,3047m,☆☆,☆☆☆,2泊3日,"35度34分23秒, 138度11分01秒"
83,悪沢岳,南アルプス,3141m,☆☆,☆☆☆,2泊3日,"35度30分03秒, 138度10分57秒"
84,赤石岳,南アルプス,3120m,☆☆,☆☆☆,2泊3日,"35度27分40秒, 138度09分26秒"
85,聖岳,南アルプス,3013m,☆☆,☆☆☆,3泊4日,"35度25分22秒, 138度08分23秒"
86,光岳,南アルプス,2591m,☆☆,☆☆☆,2泊3日,"35度20分17秒, 138度05分02秒"
87,白山,北陸,2702m,☆☆,☆☆,1泊2日,"38度14分06秒, 140度48分08秒"
88,荒島岳,北陸,1524m,☆☆,☆☆☆,日帰り,"35度56分03秒, 136度36分05秒"
89,伊吹山,近畿,1377m,☆☆,☆☆,日帰り,"35度25分04秒, 136度24分23秒"
90,大台ヶ原山,近畿,1695m,☆,☆,日帰り,"34度11分07秒, 136度06分33秒"
91,大峰山,近畿,1915m,☆☆,☆☆,1泊2日,"34度10分25秒, 135度54分27秒"
92,大山,中国,1709m,☆,☆☆,日帰り,"34度57分51秒, 139度46分40秒"
93,剣山,四国,1955m,☆,☆☆,日帰り,"42度50分55秒, 142度53分06秒"
94,石鎚山,四国,1982m,☆☆,☆☆,日帰り,"33度46分04秒, 133度06分54秒"
95,九重山,九州,1787m,☆,☆☆,1泊2日,"33度04分56秒, 131度14分27秒"
96,祖母山,九州,1756m,☆☆,☆☆☆,日帰り,"32度49分41秒, 131度20分49秒"
97,阿蘇山,九州,1592m,☆☆,☆☆,日帰り,"32度53分04秒, 131度06分14秒"
98,霧島山,九州,1700m,☆,☆☆,日帰り,"31度56分03秒, 130度51分42秒"
99,開聞岳,九州,922m,☆,☆,日帰り,"31度10分48秒, 130度31分42秒"
100,宮之浦岳,九州,1936m,☆☆☆,☆☆☆,2泊3日,"30度20分10秒, 130度30分15秒"
2001,天塩岳,北海道,1558m,★★,27,日帰り,"43度57分52秒, 142度53分17秒"
2002,石狩岳,北海道,1967m,★★★★,51,1泊2日,"43度32分48秒, 143度01分20秒"
2003,ニペソツ山,北海道,2013m,★★★,40,日帰り,"43度27分21秒, 143度01分56秒"
2004,ｶﾑｲｴｸｳﾁｶｳｼ山,北海道,1979m,★★★★,103,1泊2日,"42度37分30秒, 142度45分59秒"
2005,ペテガリ岳,北海道,1736m,★★★★,76,2泊3日,"42度29分58秒, 142度52分16秒"
2006,芦別岳,北海道,1726m,★★★★,46,日帰り,"43度14分09秒, 142度17分01秒"
2007,夕張岳,北海道,1668m,★★★,33,日帰り,"43度05分59秒, 142度15分04秒"
2008,暑寒別岳,北海道,1492m,★★★,41,日帰り,"43度42分57秒, 141度31分23秒"
2009,樽前山,北海道,1041m,★,16,日帰り,"42度41分26秒, 141度22分36秒"
2010,北海道駒ヶ岳,北海道,1131m,★,10,日帰り,"42度03分48秒, 140度40分38秒"
2011,白神岳,東北,1235m,★★,38,日帰り,"40度31分26秒, 140度02分44秒"
2012,姫神山,東北,1124m,★,14,日帰り,"39度50分39秒, 141度14分49秒"
2013,秋田駒ヶ岳,東北,1637m,★★,12,日帰り,"40度24分46秒, 140度15分04秒"
2014,和賀岳,東北,1439m,★★★,34,日帰り,"39度34分13秒, 140度45分15秒"
2015,森吉山,東北,1454m,★★,23,日帰り,"39度58分36秒, 140度32分39秒"
2016,焼石岳,東北,1547m,★★,24,日帰り,"39度09分49秒, 140度49分44秒"
2017,栗駒山,東北,1626m,★★,14,日帰り,"38度57分39秒, 140度47分18秒"
2018,神室山,東北,1365m,★★★,31,日帰り,"38度54分08秒, 140度29分32秒"
2019,船形山,東北,1500m,★★,16,日帰り,"38度27分20秒, 140度37分12秒"
2020,以東岳,東北,1772m,★★★★,-,日帰り,"38度20分35秒, 139度50分57秒"
2021,杁差岳,東北,1636m,★★★,-,1泊2日,"37度56分33秒, 139度36分32秒"
2022,二王子岳,東北,1420m,★★,-,日帰り,"37度53分59秒, 139度29分57秒"
2023,帝釈山,東北,2060m,★★,-,日帰り,"36度58分11秒, 139度27分36秒"
2024,会津朝日岳,東北,1624m,★★★,-,日帰り,"37度13分16秒, 139度20分23秒"
2025,女峰山,関東,2483m,★★★★,-,日帰り,"36度48分41秒, 139度32分11秒"
2026,仙ノ倉山,関東,2026m,★★★,-,1泊2日,"36度49分03秒, 138度50分22秒"
2027,榛名山,関東,1449m,★,-,日帰り,"36度28分39秒, 138度51分03秒"
2028,浅間隠山,関東,1757m,★★,-,日帰り,"36度27分13秒, 138度39分09秒"
2029,妙義山,関東,1104m,★★★,-,日帰り,"36度17分55秒, 138度44分56秒"
2030,荒船山,関東,1423m,★,-,日帰り,"36度12分14秒, 138度38分14秒"
2031,武甲山,関東,1304m,★★,-,日帰り,"35度57分06秒, 139度05分52秒"
2032,白石山（和名倉山）,関東,2036m,★★★,-,1泊2日,"35度53分58秒, 138度52分41秒"
2033,大岳山,関東,1266m,★★,-,日帰り,"35度45分55秒, 139度07分49秒"
2034,御神楽岳,甲信越,1386m,★★★★,-,日帰り,"37度31分19秒, 139度25分33秒"
2035,守門岳,甲信越,1537m,★★,-,日帰り,"37度23分52秒, 139度08分12秒"
2036,八海山,甲信越,1778m,★★★,-,日帰り,"37度06分14秒, 139度01分29秒"
2037,荒沢岳,甲信越,1969m,★★★,-,日帰り,"37度06分02秒, 139度08分53秒"
2038,中ノ岳,甲信越,2085m,★★★★,-,1泊2日,"42度28分05秒, 142度53分04秒"
2039,佐武流山,甲信越,2192m,★★★★,-,日帰り,"36度46分20秒, 138度40分14秒"
2040,白砂山,甲信越,2140m,★★★,-,日帰り,"36度44分17秒, 138度41分37秒"
2041,鳥甲山,甲信越,2038m,★★★,-,日帰り,"36度50分21秒, 138度35分02秒"
2042,岩菅山,甲信越,2295m,★★,-,日帰り,"36度45分10秒, 138度34分05秒"
2043,飯縄山,甲信越,1917m,★★,-,日帰り,"36度44分22秒, 138度08分01秒"
2044,黒姫山,甲信越,2053m,★★★,-,日帰り,"37度13分34秒, 138度35分32秒"
2045,戸隠山,甲信越,1904m,★★★,-,日帰り,"36度46分13秒, 138度03分18秒"
2046,天狗岳,甲信越,2646m,★★,-,1泊2日,"43度11分05秒, 140度39分39秒"
2047,御座山,甲信越,2112m,★★,-,日帰り,"36度02分02秒, 138度36分24秒"
2048,乾徳山,甲信越,2031m,★★,-,日帰り,"35度49分23秒, 138度42分54秒"
2049,茅ヶ岳,甲信越,1704m,★★,-,日帰り,"35度47分42秒, 138度30分50秒"
2050,御正体山,甲信越,1681m,★★,-,日帰り,"35度29分13秒, 138度55分54秒"
2051,三ツ峠山,甲信越,1785m,★★★,-,日帰り,"35度32分57秒, 138度48分33秒"
2052,毛無山,甲信越,1964m,★★★,-,日帰り,"42度17分43秒, 139度48分38秒"
2053,櫛形山,甲信越,2052m,★★,-,日帰り,"35度35分12秒, 138度22分09秒"
2054,七面山,甲信越,1989m,★★★,-,日帰り,"35度22分10秒, 138度20分56秒"
2055,雪倉岳,北・中央アルプス,2611m,★★★★,-,2泊3日,"36度47分41秒, 137度45分15秒"
2056,針ノ木岳,北・中央アルプス,2821m,★★★,-,1泊2日,"36度32分17秒, 137度41分04秒"
2057,毛勝山,北・中央アルプス,2415m,★★★★★,-,1泊2日,"36度42分04秒, 137度35分27秒"
2058,奥大日岳,北・中央アルプス,2611m,★★★,-,1泊2日,"36度35分54秒, 137度34分51秒"
2059,烏帽子岳,北・中央アルプス,2628m,★★★★,-,3泊4日,"39度48分18秒, 140度50分19秒"
2060,赤牛岳,北・中央アルプス,2864m,★★★★,-,3泊4日,"36度27分42秒, 137度36分12秒"
2061,餓鬼岳,北・中央アルプス,2647m,★★★,-,1泊2日,"36度26分50秒, 137度44分10秒"
2062,有明山,北・中央アルプス,2268m,★★★,-,日帰り,"36度23分28秒, 137度46分14秒"
2063,燕岳,北・中央アルプス,2763m,★★★,-,2泊3日,"36度24分25秒, 137度42分46秒"
2064,大天井岳,北・中央アルプス,2922m,★★★,-,2泊3日,"36度21分54秒, 137度42分04秒"
2065,霞沢岳,北・中央アルプス,2646m,★★★,-,1泊2日,"36度13分16秒, 137度38分26秒"
2066,経ヶ岳,北・中央アルプス,2296m,★★,-,日帰り,"35度54分46秒, 137度51分45秒"
2067,南駒ヶ岳,北・中央アルプス,2841m,★★★★,-,1泊2日,"35度42分05秒, 137度48分39秒"
2068,安平路山,北・中央アルプス,2363m,★★★★,-,日帰り,"35度37分50秒, 137度46分28秒"
2069,小秀山,北・中央アルプス,1982m,★★★,-,日帰り,"35度47分08秒, 137度23分49秒"
2070,鋸岳,南アルプス,2685m,★★★★★,-,1泊2日,"36度55分55秒, 137度58分08秒"
2071,農鳥岳,南アルプス,3026m,★★★★,-,2泊3日,"35度37分29秒, 138度13分49秒"
2072,笊ヶ岳,南アルプス,2629m,★★★★,-,日帰り,"35度25分27秒, 138度15分34秒"
2073,上河内岳,南アルプス,2803m,★★★★,-,2泊3日,"35度23分23秒, 138度09分10秒"
2074,池口岳,南アルプス,2392m,★★★,-,日帰り,"35度19分49秒, 138度02分18秒"
2075,大無間山,南アルプス,2330m,★★★★,-,1泊2日,"35度15分22秒, 138度09分42秒"
2076,愛鷹山,東海・北陸,1504m,★★,-,日帰り,"35度14分17秒, 138度47分38秒"
2077,金剛堂山,東海・北陸,1650m,★★★,-,日帰り,"36度22分44秒, 137度02分56秒"
2078,位山,東海・北陸,1529m,★,-,日帰り,"36度02分18秒, 137度11分48秒"
2079,笈ヶ岳,東海・北陸,1841m,★★★★,-,1泊2日,"36度17分55秒, 136度47分32秒"
2080,大日ヶ岳,東海・北陸,1709m,★★,-,日帰り,"36度00分05秒, 136度50分16秒"
2081,能郷白山,東海・北陸,1617m,★,-,日帰り,"35度45分45秒, 136度30分51秒"
2082,御在所岳,近畿,1212m,★★,-,日帰り,"35度01分14秒, 136度25分04秒"
2083,釈迦ヶ岳,近畿,1800m,★★★,-,1泊2日,"36度54分00秒, 139度46分36秒"
2084,伯母子岳,近畿,1344m,★★,-,日帰り,"34度04分39秒, 135度39分03秒"
2085,金剛山,近畿,1125m,★★,-,日帰り,"34度25分10秒, 135度40分23秒"
2086,武奈ヶ岳,近畿,1214m,★★★,-,1泊2日,"35度15分53秒, 135度53分49秒"
2087,氷ノ山,中国・四国,1510m,★★,-,日帰り,"35度21分14秒, 134度30分50秒"
2088,上蒜山,中国・四国,1202m,★★,-,日帰り,"35度19分30秒, 133度39分48秒"
2089,三瓶山,中国・四国,1126m,★★,-,日帰り,"35度08分26秒, 132度37分18秒"
2090,三嶺,中国・四国,1894m,★★★,-,日帰り,"33度50分22秒, 133度59分16秒"
2091,東赤石山,中国・四国,1706m,★★★,-,日帰り,"33度52分31秒, 133度22分26秒"
2092,笹ヶ峰,中国・四国,1860m,★★,-,日帰り,"33度49分41秒, 133度16分29秒"
2093,英彦山,九州,1199m,★★,-,日帰り,"33度28分34秒, 130度55分34秒"
2094,由布岳,九州,1583m,★★,-,日帰り,"33度16分56秒, 131度23分25秒"
2095,大崩山,九州,1644m,★★★★,-,日帰り,"32度44分16秒, 131度30分47秒"
2096,雲仙岳,九州,1483m,★★,-,日帰り,"32度45分36秒, 130度17分32秒"
2097,市房山,九州,1721m,★★★,-,日帰り,"32度18分42秒, 131度06分04秒"
2098,尾鈴山,九州,1405m,★★,-,日帰り,"32度17分57秒, 131度25分36秒"
2099,高千穂峰,九州,1574m,★★,-,日帰り,"31度53分11秒, 130度55分08秒"
2100,桜島,九州,1117m,★★,-,日帰り,"31度35分33秒, 130度39分24秒"
3001,ニセイカウシュッペ山,北海道,1883m,★★,22,日帰り,"43度46分48秒, 142度59分07秒"
3002,オプタテシケ山,北海道,2013m,★★★★,44,日帰り,"43度28分13秒, 142度45分06秒"
3003,神威岳,北海道,1600m,★★★★,41,日帰り,"42度25分42秒, 142度54分25秒"
3004,余市岳,北海道,1488m,★★,30,日帰り,"43度01分58秒, 141度01分11秒"
3005,ニセコアンヌプリ,北海道,1308m,★,14,日帰り,"42度52分30秒, 140度39分32秒"
3006,狩場山,北海道,1520m,★★,22,日帰り,"42度36分48秒, 139度56分26秒"
3007,大千軒岳,北海道,1072m,★★,28,日帰り,"41度34分46秒, 140度09分39秒"
3008,五葉山,東北,1351m,★,17,日帰り,"39度12分19秒, 141度43分56秒"
3009,乳頭山（烏帽子岳）,東北,1478m,★★,20,日帰り,"39度48分18秒, 140度50分19秒"
3010,太平山,東北,1170m,★★,-,日帰り,"39度47分49秒, 140度18分38秒"
3011,泉ヶ岳,東北,1175m,★★,17,日帰り,"38度24分43秒, 140度42分32秒"
3012,摩耶山,東北,1020m,★★★,28,日帰り,"38度31分13秒, 139度43分40秒"
3013,祝瓶山,東北,1417m,★★,-,日帰り,"38度11分51秒, 139度52分47秒"
3014,一切経山,東北,1949m,★★,-,日帰り,"37度44分07秒, 140度14分40秒"
3015,大滝根山,東北,1192m,★,-,日帰り,"37度21分18秒, 140度42分06秒"
3016,二岐山,東北,1544m,★★,-,日帰り,"37度14分47秒, 139度58分02秒"
3017,七ヶ岳,東北,1636m,★★,-,日帰り,"37度07分27秒, 139度39分27秒"
3018,荒海山（太郎岳）,東北,1581m,★★,-,日帰り,"37度02分10秒, 139度38分37秒"
3019,八溝山,関東,1022m,★★,-,日帰り,"36度55分49秒, 140度16分23秒"
3020,男鹿岳,関東,1777m,★★★★,-,日帰り,"37度05分07秒, 139度49分19秒"
3021,高原山,関東,1795m,★★★,-,日帰り,"36度54分00秒, 139度46分36秒"
3022,太郎山,関東,2368m,★★★,-,日帰り,"36度49分04秒, 139度28分58秒"
3023,袈裟丸山,関東,1961m,★★,-,日帰り,"36度38分58秒, 139度19分38秒"
3024,景鶴山,関東,2004m,登山不可,登山不可,登山不可,"36度57分25秒, 139度12分38秒"
3025,朝日岳,関東,1945m,★★★★,-,日帰り,"38度15分38秒, 139度55分20秒"
3026,諏訪山,関東,1549m,★★★,-,日帰り,"36度02分40秒, 138度43分75秒"
3027,三頭山,関東,1531m,★★,-,日帰り,"44度05分30秒, 142度05分09秒"
3028,大山,関東,1252m,★★,-,日帰り,"34度57分51秒, 139度46分40秒"
3029,金時山,関東,1212m,★,-,日帰り,"35度17分23秒, 139度00分18秒"
3030,箱根山（神山）,関東,1438m,★,-,日帰り,"35度14分00秒, 139度01分15秒"
3031,金北山,甲信越,1172m,★★,-,1泊2日,"38度06分14秒, 138度20分59秒"
3032,粟ヶ岳,甲信越,1293m,★★★,-,日帰り,"37度33分19秒, 139度11分19秒"
3033,浅草岳,甲信越,1585m,★★,-,日帰り,"37度20分37秒, 139度14分01秒"
3034,米山,甲信越,993m,★,-,日帰り,"37度17分22秒, 138度29分02秒"
3035,横手山,甲信越,2307m,★★★,-,日帰り,"36度40分08秒, 138度31分33秒"
3036,笠ヶ岳,甲信越,2076m,★,-,日帰り,"36度40分36秒, 138度28分53秒"
3037,斑尾山,甲信越,1382m,★★,-,日帰り,"36度50分15秒, 138度16分28秒"
3038,焼山,甲信越,2400m,★★★★,-,日帰り,"39度57分50秒, 140度45分25秒"
3039,黒姫山,甲信越,1221m,★★★,-,日帰り,"37度13分34秒, 138度35分32秒"
3040,鉢伏山,甲信越,1929m,★★,-,日帰り,"36度09分47秒, 138度03分33秒"
3041,入笠山,甲信越,1955m,★★,-,日帰り,"35度53分47秒, 138度10分18秒"
3042,国師ヶ岳,甲信越,2592m,★,-,日帰り,"35度52分15秒, 138度40分23秒"
3043,黒岳（御坂黒岳）,甲信越,1793m,★★,-,日帰り,"35度33分07秒, 138度44分58秒"
3044,朝日岳,北・中央アルプス,2418m,★★★★,-,2泊3日,"38度15分38秒, 139度55分20秒"
3045,唐松岳,北・中央アルプス,2696m,★★★,-,1泊2日,"36度41分14秒, 137度45分17秒"
3046,爺ヶ岳,北・中央アルプス,2670m,★★★,-,1泊2日,"36度35分18秒, 137度45分03秒"
3047,蓮華岳,北・中央アルプス,2799m,★★★,-,1泊2日,"36度32分09秒, 137度42分38秒"
3048,鍬崎山,北・中央アルプス,2090m,★★★,-,日帰り,"36度32分24秒, 137度28分41秒"
3049,野口五郎岳,北・中央アルプス,2924m,★★★★,-,3泊4日,"36度25分58秒, 137度38分16秒"
3050,三俣蓮華岳,北・中央アルプス,2841m,★★★★,-,3泊4日,"36度23分24秒, 137度35分16秒"
3051,鉢盛山,北・中央アルプス,2447m,★★,-,日帰り,"36度05分12秒, 137度45分17秒"
3052,越百山,北・中央アルプス,2614m,★★★★,-,1泊2日,"35度40分46秒, 137度48分12秒"
3053,南木曽岳,北・中央アルプス,1679m,★★,-,日帰り,"35度35分33秒, 137度38分39秒"
3054,奥三界岳,北・中央アルプス,1811m,★★★,-,日帰り,"35度40分54秒, 137度30分26秒"
3055,アサヨ峰,南アルプス,2799m,★★★,-,2泊3日,"35度43分54秒, 138度14分29秒"
3056,奥茶臼山,南アルプス,2474m,★★★,-,日帰り,"35度29分06秒, 138度04分09秒"
3057,茶臼岳,南アルプス,2604m,★★★★,-,1泊2日,"39度57分03秒, 140度53分56秒"
3058,山伏,東海・北陸,2013m,★★★,-,日帰り,"35度18分16秒, 138度17分07秒"
3059,黒法師岳,東海・北陸,2068m,★★★,-,日帰り,"35度11分46秒, 138度01分46秒"
3060,高塚山,東海・北陸,1621m,★★★,-,日帰り,"35度06分56秒, 138度00分13秒"
3061,熊伏山,東海・北陸,1654m,★★,-,日帰り,"35度15分48秒, 137度53分42秒"
3062,白木峰,東海・北陸,1596m,★★,-,日帰り,"36度24分56秒, 137度06分44秒"
3063,人形山,東海・北陸,1726m,★★★,-,日帰り,"36度20分56秒, 136度56分23秒"
3064,猿ヶ馬場山,東海・北陸,1875m,★★★,-,日帰り,"36度13分33秒, 136度56分34秒"
3065,川上岳,東海・北陸,1625m,★★,-,日帰り,"36度00分30秒, 137度08分58秒"
3066,鷲ヶ岳,東海・北陸,1671m,★,-,日帰り,"35度56分25秒, 136度58分17秒"
3067,医王山,東海・北陸,939m,★★,-,日帰り,"36度30分46秒, 136度47分46秒"
3068,大門山,東海・北陸,1572m,★,-,日帰り,"36度21分55秒, 136度48分13秒"
3069,大笠山,東海・北陸,1822m,★★★,-,日帰り,"36度19分14秒, 136度47分23秒"
3070,三方岩岳,東海・北陸,1736m,★★,-,日帰り,"36度15分29秒, 136度50分40秒"
3071,野伏ヶ岳,東海・北陸,1674m,★★★,-,日帰り,"36度00分46秒, 136度43分57秒"
3072,経ヶ岳,東海・北陸,1625m,★★,-,日帰り,"35度54分46秒, 137度51分45秒"
3073,冠山,東海・北陸,1257m,★★,-,日帰り,"35度47分19秒, 138度50分09秒"
3074,藤原岳,近畿,1140m,★★★,-,日帰り,"35度09分31秒, 136度27分10秒"
3075,倶留尊山,近畿,1037m,★★,-,日帰り,"34度31分51秒, 136度10分13秒"
3076,三峰山,近畿,1235m,★★,-,日帰り,"34度26分55秒, 136度12分23秒"
3077,高見山,近畿,1248m,★★★,-,日帰り,"34度25分43秒, 136度05分18秒"
3078,龍門岳,近畿,904m,★★,-,日帰り,"34度14分17秒, 135度24分41秒"
3079,山上ヶ岳,近畿,1719m,★★,-,日帰り,"34度15分09秒, 135度56分28秒"
3080,護摩壇山,近畿,1372m,★,-,日帰り,"34度03分27秒, 135度34分01秒"
